172.23.0.1 - - [08/May/2022:23:21:13 +0000] "GET / HTTP/1.1" 200 3838 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) konqueror/5.0.97 Safari/534.34"
172.23.0.1 - - [08/May/2022:23:21:13 +0000] "GET / HTTP/1.1" 200 3711 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:13 +0000] "GET /core/css/guest.css?v=ba222ded25d957b900c03bef914333cd HTTP/1.1" 200 6176 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:13 +0000] "GET /core/img/actions/caret-white.svg HTTP/1.1" 200 691 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:13 +0000] "GET /core/js/dist/install.js?v=ba222ded25d957b900c03bef914333cd HTTP/1.1" 200 93645 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:13 +0000] "GET /core/img/background.png?v=2 HTTP/1.1" 200 10165 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:13 +0000] "GET /core/img/actions/info-white.svg?v=2 HTTP/1.1" 200 932 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:13 +0000] "GET /core/js/dist/main.js?v=ba222ded25d957b900c03bef914333cd HTTP/1.1" 200 488279 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:13 +0000] "GET /core/img/logo/logo.svg?v=1 HTTP/1.1" 200 1361 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:13 +0000] "GET /core/img/actions/toggle.svg?v=1 HTTP/1.1" 200 854 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:14 +0000] "GET /core/vendor/zxcvbn/dist/zxcvbn.js HTTP/1.1" 200 400242 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:14 +0000] "GET /core/img/favicon.ico HTTP/1.1" 200 3820 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:15 +0000] "GET /core/img/favicon.ico HTTP/1.1" 200 3821 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) konqueror/5.0.97 Safari/534.34"
127.0.0.1 - - [08/May/2022:23:21:21 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.53 (Debian) PHP/8.0.18 (internal dummy connection)"
172.23.0.1 - - [08/May/2022:23:21:19 +0000] "POST /index.php HTTP/1.1" 302 1153 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:30 +0000] "GET /index.php/core/apps/recommended HTTP/1.1" 302 1044 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
172.23.0.1 - - [08/May/2022:23:21:30 +0000] "GET /index.php/core/apps/recommended HTTP/1.1" 200 5114 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.12.8 Chrome/69.0.3497.128 Safari/537.36 Konqueror (WebEnginePart)"
